         381229104 function calls (381226101 primitive calls) in 695.170 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   101822    0.096    0.000    0.111    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/copy.py:243(_keep_alive)
  1442938    0.105    0.000    0.105    0.000 {built-in method unicodedata.east_asian_width}
        4    0.104    0.026    0.104    0.026 {built-in method posix.chmod}
    33206    0.098    0.000    0.098    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/langchain_text_splitters/character.py:76(<listcomp>)
      314    0.091    0.000    0.091    0.000 {built-in method posix.stat}
   185604    0.073    0.000    0.087    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/datasets/utils/py_utils.py:297(unique_values)
101817/101812    0.067    0.000    0.087    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/copy.py:227(_deepcopy_dict)
        1    0.077    0.077    0.077    0.077 {built-in method posix.rmdir}
    30935    0.019    0.000    0.061    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/datasets/formatting/formatting.py:451(__init__)
        5    0.000    0.000    0.057    0.011 <frozen importlib._bootstrap>:921(_find_spec)
        5    0.000    0.000    0.057    0.011 <frozen importlib._bootstrap_external>:1422(find_spec)
        5    0.000    0.000    0.057    0.011 <frozen importlib._bootstrap_external>:1390(_get_spec)
        5    0.000    0.000    0.057    0.011 <frozen importlib._bootstrap_external>:1527(find_spec)
   102279    0.056    0.000    0.056    0.000 {method 'strip' of 'str' objects}
   464010    0.056    0.000    0.056    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/datasets/utils/py_utils.py:335(<genexpr>)
     3257    0.005    0.000    0.055    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/tqdm/std.py:451(fp_write)
       32    0.000    0.000    0.055    0.002 <frozen importlib._bootstrap_external>:140(_path_stat)
